,Unnamed: 0,dao_id,proposal_id,bribe_function,private_ratio,noised_ratio,target_side,epsilon,w_max,W_total,num_voters,public_cost_abs,private_cost_abs,noised_cost_abs,min_swing_voters
56,56,balancer.eth,0x35013991f313a4c9ec7e50862b4f61d69ee4544eefe435ed37366818ff83ea19,whale_90,1.0,1.0,losing,8.575952418275323e-06,3143278.4772603163,3493177.3492237385,66,,,,1
57,57,balancer.eth,0x35013991f313a4c9ec7e50862b4f61d69ee4544eefe435ed37366818ff83ea19,whale_99,1.0,1.0,losing,8.575952418275323e-06,3143278.4772603163,3493177.3492237385,66,,,,1
58,58,balancer.eth,0x35013991f313a4c9ec7e50862b4f61d69ee4544eefe435ed37366818ff83ea19,log_whale_99,1.0,1.0,losing,8.575952418275323e-06,3143278.4772603163,3493177.3492237385,66,,,,1
59,59,balancer.eth,0x35013991f313a4c9ec7e50862b4f61d69ee4544eefe435ed37366818ff83ea19,top_10,1.0,1.0,losing,8.575952418275323e-06,3143278.4772603163,3493177.3492237385,66,,,,1
60,60,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,top_mdc_log,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
61,61,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,linear_weight,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
62,62,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,whale_90,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
63,63,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,whale_99,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
64,64,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,log_whale_99,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
65,65,balancer.eth,0xdeb64e95b5822fe2aa62f1c15a9cc26f7c2ddef8cd3260cf5a9670f3157f10bb,top_10,1.0,1.0,losing,9.049102196191164e-06,3150431.632796238,3310529.827826364,58,,,,1
66,66,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,top_mdc_log,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
67,67,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,linear_weight,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
68,68,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,whale_90,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
69,69,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,whale_99,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
70,70,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,log_whale_99,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
71,71,balancer.eth,0xeb1a639b7aa92ee03204c5521d7e69c8b180a55a696a88ca45aa24001c7a2ffd,top_10,1.0,1.0,losing,9.169076794485376e-06,3156794.049621999,3267212.5457120556,57,,,,1
72,72,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,top_mdc_log,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
73,73,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,linear_weight,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
74,74,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,whale_90,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
75,75,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,whale_99,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
76,76,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,log_whale_99,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
77,77,balancer.eth,0x38168c355733a481b6385b876308ce7adc526daca6f0fa996cfeab374572deff,top_10,1.0,1.0,losing,9.21027444787938e-05,244473.6230720929,325259.8270015443,48,,,,1
78,78,balancer.eth,0x48fd8ebafa85165efbf84eb2034baef2f0102ae15d5855fadbed40f21356ef37,top_mdc_log,1.0,1.0,losing,9.25290394507566e-06,3156825.9611699875,3237613.068649979,54,,,,1
